unit,lat,lon,year,count
Los Padres National Forest,34.768611,-120.061716,1940,6
Tehama - Glenn CAL FIRE,40.570817,-122.401684,1940,2
Sierra National Forest,36.829829,-119.684965,1940,3
Sequoia National Forest,36.032162,-119.078781,1940,4
Sequoia - Kings Canyon NP,36.49042,-118.82488,1940,1
Klamath National Forest,41.336017,-122.841974,1940,4
Cleveland National Forest,33.022118,-117.094959,1940,10
Lassen National Forest,40.20725,-120.90771,1940,4
Vandenberg Air Force Base,34.7483,-120.51817,1940,1
Modoc National Forest,41.339102,-121.147262,1940,6
Los Angeles County,34.05513,-118.25703,1940,7
Ventura County,34.27834,-119.29317,1941,2
Lassen National Forest,40.20725,-120.90771,1941,5
Toiyabe National Forest,38.62689,-119.3935,1941,3
Klamath National Forest,41.336017,-122.841974,1941,6
Los Angeles County,34.05513,-118.25703,1941,5
Cleveland National Forest,33.022118,-117.094959,1941,11
San Bernardino National Forest,34.090473,-117.260245,1941,6
Plumas National Forest,39.937816,-120.94114,1941,2
Los Padres National Forest,34.768611,-120.061716,1941,14
Tahoe National Forest,39.301182,-120.678146,1941,1
Sequoia National Forest,36.032162,-119.078781,1941,2
Stanislaus National Forest,38.036256,-120.283203,1941,3
Marin County,37.87136,-122.513604,1941,11
Modoc National Forest,41.339102,-121.147262,1941,3
Riverside CAL FIRE,33.496892,-117.1504,1941,2
Tehama - Glenn CAL FIRE,40.570817,-122.401684,1941,6
Vandenberg Air Force Base,34.7483,-120.51817,1941,1
Pinnacles National Park,36.499123,-121.116237,1941,1
San Bernardino National Forest,34.090473,-117.260245,1942,8
Plumas National Forest,39.937816,-120.94114,1942,4
Ventura County,34.27834,-119.29317,1942,1
